subscriberId,monthlySpend,dataUsageGb,voiceMinutes,churnRisk,valueScore,acceptedCampaigns,rejectedCampaigns,tariff,segment
SUB-00142,194.16,23.35,1033,0.1763,0.7217,2,1,Genç Tarife,YUKSEK_DEGER
SUB-00143,246.73,24.25,441,0.1136,0.5452,0,1,Genç Tarife,YUKSEK_DEGER
SUB-00144,67.83,19.37,428,0.3698,0.1116,1,2,Genç Tarife,BELIRSIZ
SUB-00145,171.65,34.92,499,0.2721,0.2415,1,4,Aile Paketi,BELIRSIZ
SUB-00146,121.96,16.74,238,0.3175,0.3877,1,3,Aile Paketi,YUKSEK_DEGER
SUB-00147,125.18,10.33,394,0.1552,0.4153,1,4,Aile Paketi,BELIRSIZ
SUB-00148,322.5,17.1,343,0.7005,0.2692,3,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00149,126.41,5.94,802,0.4313,0.6095,1,0,Genç Tarife,RISKLI_KAYIP
SUB-00150,174.89,5.32,903,0.2065,0.2158,2,2,Premium Tarife,BELIRSIZ
SUB-00151,38.7,30.19,588,0.5609,0.1138,0,2,Premium Tarife,RISKLI_KAYIP
SUB-00152,362.94,41.99,210,0.308,0.4836,2,1,Aile Paketi,YUKSEK_DEGER
SUB-00153,238.74,13.26,1157,0.4342,0.4069,0,4,Standart Tarife,YUKSEK_DEGER
SUB-00154,141.23,30.38,681,0.1084,0.578,2,1,Premium Tarife,BELIRSIZ
SUB-00155,118.63,2.94,477,0.2837,0.4796,3,4,Standart Tarife,RISKLI_KAYIP
SUB-00156,205.47,23.4,554,0.9157,0.582,2,2,Aile Paketi,RISKLI_KAYIP
SUB-00157,279.87,16.79,130,0.1459,0.4412,0,3,Standart Tarife,BELIRSIZ
SUB-00158,365.67,46.36,343,0.0916,0.5421,3,2,Premium Tarife,YUKSEK_DEGER
SUB-00159,234.31,15.16,844,0.3445,0.4624,3,3,Premium Tarife,YUKSEK_DEGER
SUB-00160,152.73,7.4,125,0.2563,0.3568,1,3,Genç Tarife,YUKSEK_DEGER
SUB-00161,254.71,4.67,122,0.1115,0.3143,2,3,Standart Tarife,BELIRSIZ
SUB-00162,228.75,17.09,684,0.2194,0.1738,2,0,Premium Tarife,YUKSEK_DEGER
SUB-00163,153.08,19.34,529,0.1138,0.6153,2,3,Genç Tarife,YUKSEK_DEGER
SUB-00164,224.97,14.5,126,0.16,0.2709,1,0,Premium Tarife,BELIRSIZ
SUB-00165,222.58,30.82,322,0.0881,0.4468,1,0,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00166,140.74,39.14,477,0.4471,0.4181,0,2,Premium Tarife,RISKLI_KAYIP
SUB-00167,104.87,13.15,441,0.2448,0.4009,1,2,Aile Paketi,BELIRSIZ
SUB-00168,211.7,3.51,502,0.0593,0.3594,1,3,Aile Paketi,BELIRSIZ
SUB-00169,73.16,20.69,306,0.5619,0.4774,1,4,Genç Tarife,RISKLI_KAYIP
SUB-00170,62.29,35.37,456,0.2399,0.5595,0,1,Standart Tarife,BELIRSIZ
SUB-00171,176.51,13.2,588,0.0899,0.5788,0,1,Premium Tarife,BELIRSIZ
SUB-00172,208.42,24.25,559,0.4902,0.5676,1,3,Premium Tarife,YUKSEK_DEGER
SUB-00173,175.74,6.95,312,0.7778,0.2041,0,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00174,187.07,20.35,622,0.2824,0.6488,2,2,Standart Tarife,YUKSEK_DEGER
SUB-00175,206.4,24.54,192,0.4399,0.4829,4,1,Standart Tarife,YUKSEK_DEGER
SUB-00176,323.18,20.74,246,0.3599,0.6875,3,1,Premium Tarife,YUKSEK_DEGER
SUB-00177,236.6,54.1,683,0.2957,0.4098,2,2,Premium Tarife,RISKLI_KAYIP
SUB-00178,232.57,41.67,614,0.3402,0.7641,1,3,Standart Tarife,YUKSEK_DEGER
SUB-00179,168.59,27.21,332,0.1258,0.4818,3,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00180,172.31,33.26,242,0.773,0.2722,2,3,Genç Tarife,RISKLI_KAYIP
SUB-00181,133.81,20.25,266,0.0726,0.1882,0,1,Aile Paketi,BELIRSIZ
SUB-00182,183.87,16.27,572,0.1365,0.188,3,2,Standart Tarife,BELIRSIZ
SUB-00183,70.66,12.17,505,0.345,0.4473,1,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00184,324.02,6.83,231,0.2506,0.4883,0,4,Standart Tarife,YUKSEK_DEGER
SUB-00185,84.52,42.89,612,0.6555,0.5317,3,2,Premium Tarife,RISKLI_KAYIP
SUB-00186,236.33,55.43,322,0.124,0.6157,3,1,Aile Paketi,YUKSEK_DEGER
SUB-00187,301.33,17.38,197,0.1521,0.4369,2,3,Standart Tarife,YUKSEK_DEGER
SUB-00188,236.01,17.59,286,0.0996,0.2565,1,1,Öğrenci Tarifesi,BELIRSIZ
SUB-00189,470.78,25.22,414,0.559,0.8034,1,0,Premium Tarife,YUKSEK_DEGER
SUB-00190,30.28,15.21,598,0.1091,0.2734,0,2,Premium Tarife,BELIRSIZ
SUB-00191,109.28,7.58,574,0.518,0.5127,0,2,Genç Tarife,RISKLI_KAYIP
SUB-00192,298.53,5.78,365,0.3959,0.3747,2,0,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00193,60.53,54.21,447,0.204,0.1403,0,2,Standart Tarife,BELIRSIZ
SUB-00194,86.28,4.02,344,0.1819,0.3937,2,1,Standart Tarife,BELIRSIZ
SUB-00195,198.96,21.28,232,0.2625,0.4147,1,1,Aile Paketi,YUKSEK_DEGER
SUB-00196,151.6,4.53,374,0.3738,0.452,0,3,Aile Paketi,BELIRSIZ
SUB-00197,191.92,15.75,88,0.4827,0.293,1,3,Aile Paketi,RISKLI_KAYIP
SUB-00198,159.44,13.1,913,0.4661,0.3878,0,4,Aile Paketi,RISKLI_KAYIP
SUB-00199,168.23,5.23,439,0.1419,0.6644,1,2,Premium Tarife,YUKSEK_DEGER
SUB-00200,92.04,25.81,518,0.6286,0.6103,4,0,Genç Tarife,RISKLI_KAYIP
SUB-00201,165.06,7.14,239,0.2002,0.4083,0,1,Premium Tarife,YUKSEK_DEGER
SUB-00202,114.07,4.62,437,0.4697,0.1567,1,1,Genç Tarife,BELIRSIZ
SUB-00203,124.06,27.71,485,0.2091,0.3868,3,2,Standart Tarife,BELIRSIZ
SUB-00204,234.5,13.15,333,0.3991,0.6064,2,2,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00205,58.32,9.47,345,0.5979,0.5136,0,4,Genç Tarife,RISKLI_KAYIP
SUB-00206,21.06,28.83,147,0.3655,0.3198,1,1,Genç Tarife,RISKLI_KAYIP
SUB-00207,224.8,6.84,1093,0.6521,0.555,0,0,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00208,165.16,3.61,237,0.066,0.3645,5,1,Genç Tarife,BELIRSIZ
SUB-00209,301.15,37.49,259,0.215,0.402,3,1,Genç Tarife,YUKSEK_DEGER
SUB-00210,87.84,49.51,949,0.1744,0.5499,0,0,Öğrenci Tarifesi,YENI_ABONE
SUB-00211,138.03,15.45,533,0.5191,0.389,1,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00212,155.1,0.67,601,0.3476,0.1598,0,4,Aile Paketi,BELIRSIZ
SUB-00213,99.5,15.3,139,0.1843,0.4318,1,2,Standart Tarife,BELIRSIZ
SUB-00214,80.49,29.91,433,0.2194,0.5211,0,1,Genç Tarife,BELIRSIZ
SUB-00215,231.33,35.11,141,0.7286,0.5816,1,1,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00216,54.26,7.51,212,0.181,0.4421,3,3,Öğrenci Tarifesi,PASIF
SUB-00217,71.66,13.63,1188,0.2606,0.3743,0,5,Öğrenci Tarifesi,RISKLI_KAYIP
SUB-00218,135.21,20.16,184,0.0539,0.2282,3,2,Aile Paketi,YUKSEK_DEGER
SUB-00219,246.84,28.79,584,0.549,0.5181,1,3,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00220,103.75,26.82,197,0.3012,0.5935,1,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00221,95.4,24.04,216,0.1948,0.5385,0,2,Genç Tarife,RISKLI_KAYIP
SUB-00222,130.32,35.05,1621,0.1489,0.3838,1,1,Standart Tarife,BELIRSIZ
SUB-00223,181.63,16.26,366,0.2604,0.5803,0,5,Öğrenci Tarifesi,BELIRSIZ
SUB-00224,117.98,43.14,131,0.3278,0.424,0,4,Premium Tarife,BELIRSIZ
SUB-00225,264.92,11.16,599,0.0128,0.455,2,2,Genç Tarife,YUKSEK_DEGER
SUB-00226,271.28,27.1,808,0.201,0.3846,2,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00227,135.2,12.41,633,0.3485,0.4485,0,0,Aile Paketi,RISKLI_KAYIP
SUB-00228,400.94,15.62,345,0.3348,0.4998,4,3,Premium Tarife,YUKSEK_DEGER
SUB-00229,152.99,17.41,353,0.3523,0.1766,1,1,Genç Tarife,RISKLI_KAYIP
SUB-00230,266.12,11.89,270,0.4772,0.5206,2,3,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00231,178.66,36.03,168,0.2661,0.3447,0,3,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00232,176.71,12.87,479,0.0419,0.2496,1,1,Genç Tarife,YUKSEK_DEGER
SUB-00233,45.21,16.79,334,0.4306,0.1391,0,1,Aile Paketi,RISKLI_KAYIP
SUB-00234,67.46,25.03,142,0.1122,0.3686,2,2,Standart Tarife,BELIRSIZ
SUB-00235,121.88,69.06,372,0.3615,0.6422,1,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00236,270.11,25.64,238,0.1106,0.7413,2,0,Standart Tarife,YUKSEK_DEGER
SUB-00237,180.16,17.84,463,0.3004,0.3498,2,5,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00238,122.58,3.03,434,0.2351,0.2281,2,1,Aile Paketi,YUKSEK_DEGER
SUB-00239,209.6,15.32,303,0.5296,0.5427,2,1,Premium Tarife,YUKSEK_DEGER
SUB-00240,264.47,10.35,384,0.203,0.5277,1,0,Genç Tarife,YUKSEK_DEGER
SUB-00241,147.24,13.49,405,0.3639,0.4585,2,1,Genç Tarife,BELIRSIZ
SUB-00242,167.63,12.22,683,0.7062,0.6863,1,2,Genç Tarife,RISKLI_KAYIP
SUB-00243,155.04,24.87,374,0.4217,0.5883,0,1,Premium Tarife,BELIRSIZ
SUB-00244,141.63,15.09,275,0.1355,0.4298,2,0,Aile Paketi,BELIRSIZ
SUB-00245,87.21,8.51,323,0.1008,0.3492,0,1,Premium Tarife,BELIRSIZ
SUB-00246,82.71,30.73,1044,0.2151,0.2942,2,3,Öğrenci Tarifesi,BELIRSIZ
SUB-00247,208.84,6.25,203,0.5773,0.2949,3,5,Premium Tarife,RISKLI_KAYIP
SUB-00248,267.33,17.28,338,0.0929,0.7508,0,2,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00249,122.43,15.4,334,0.1712,0.4394,1,0,Premium Tarife,BELIRSIZ
SUB-00250,120.65,21.7,344,0.4286,0.4155,1,1,Aile Paketi,BELIRSIZ
SUB-00251,36.01,35.28,101,0.1477,0.3388,1,0,Premium Tarife,RISKLI_KAYIP
SUB-00252,30.68,75.66,163,0.2465,0.4337,1,2,Standart Tarife,BELIRSIZ
SUB-00253,306.43,17.84,322,0.1164,0.498,2,5,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00254,91.07,10.22,265,0.6449,0.2298,2,0,Standart Tarife,RISKLI_KAYIP
SUB-00255,489.15,9.47,462,0.581,0.3871,2,2,Genç Tarife,RISKLI_KAYIP
SUB-00256,101.93,9.44,743,0.3301,0.2967,3,4,Aile Paketi,BELIRSIZ
SUB-00257,46.4,21.17,485,0.1134,0.2382,1,0,Standart Tarife,PASIF
SUB-00258,155.78,2.36,415,0.5509,0.4828,1,1,Genç Tarife,RISKLI_KAYIP
SUB-00259,229.77,5.92,515,0.0232,0.5161,3,4,Aile Paketi,YUKSEK_DEGER
SUB-00260,215.25,21.18,440,0.0844,0.705,0,1,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00261,242.98,31.73,382,0.2427,0.5961,2,4,Standart Tarife,YUKSEK_DEGER
SUB-00262,75.65,31.85,667,0.1256,0.246,2,1,Aile Paketi,BELIRSIZ
SUB-00263,302.33,18.43,316,0.4749,0.6067,2,1,Genç Tarife,YUKSEK_DEGER
SUB-00264,312.33,29.12,162,0.0396,0.6972,2,0,Premium Tarife,YUKSEK_DEGER
SUB-00265,320.01,35.68,259,0.0928,0.5737,0,3,Öğrenci Tarifesi,YUKSEK_DEGER
SUB-00266,171.1,12.73,236,0.3175,0.4356,0,0,Aile Paketi,YENI_ABONE
SUB-00267,116.51,33.37,1213,0.1536,0.4029,0,0,Standart Tarife,BELIRSIZ
SUB-00268,109.96,4.28,769,0.0303,0.2252,2,1,Premium Tarife,BELIRSIZ
SUB-00269,46.2,5.78,418,0.3301,0.1266,1,1,Standart Tarife,PASIF
SUB-00270,103.4,13.3,240,0.1152,0.2874,1,2,Standart Tarife,YUKSEK_DEGER
SUB-00271,19.6,3.78,663,0.491,0.1736,1,2,Öğrenci Tarifesi,PASIF
SUB-00272,41.36,25.14,408,0.4259,0.1651,2,2,Öğrenci Tarifesi,BELIRSIZ
SUB-00273,170.05,11.35,317,0.1934,0.2721,1,0,Genç Tarife,BELIRSIZ
